,report_date,year,month,Year-Month,family_with_children_shelter
759,2024-12-31,2024,12,2024-12,182
760,2024-12-31,2024,12,2024-12,2376
761,2024-12-31,2024,12,2024-12,1600
762,2024-12-31,2024,12,2024-12,819
763,2024-12-31,2024,12,2024-12,0
764,2024-12-31,2024,12,2024-12,0
765,2024-12-31,2024,12,2024-12,92
766,2024-12-31,2024,12,2024-12,355
767,2024-12-31,2024,12,2024-12,1249
768,2024-12-31,2024,12,2024-12,2143
769,2024-12-31,2024,12,2024-12,1081
770,2024-12-31,2024,12,2024-12,1801
771,2024-12-31,2024,12,2024-12,569
772,2024-12-31,2024,12,2024-12,406
773,2024-12-31,2024,12,2024-12,1550
774,2024-12-31,2024,12,2024-12,543
775,2024-12-31,2024,12,2024-12,0
776,2024-12-31,2024,12,2024-12,803
777,2024-12-31,2024,12,2024-12,1213
778,2024-12-31,2024,12,2024-12,0
779,2024-12-31,2024,12,2024-12,67
780,2024-12-31,2024,12,2024-12,415
781,2024-12-31,2024,12,2024-12,838
782,2024-12-31,2024,12,2024-12,458
783,2024-12-31,2024,12,2024-12,520
784,2024-12-31,2024,12,2024-12,389
785,2024-12-31,2024,12,2024-12,400
786,2024-12-31,2024,12,2024-12,348
787,2024-12-31,2024,12,2024-12,0
788,2024-12-31,2024,12,2024-12,0
789,2024-12-31,2024,12,2024-12,743
790,2024-12-31,2024,12,2024-12,0
791,2024-12-31,2024,12,2024-12,0
792,2024-12-31,2024,12,2024-12,985
793,2024-12-31,2024,12,2024-12,534
794,2024-12-31,2024,12,2024-12,348
795,2024-12-31,2024,12,2024-12,0
796,2024-12-31,2024,12,2024-12,673
797,2024-12-31,2024,12,2024-12,616
798,2024-12-31,2024,12,2024-12,529
799,2024-12-31,2024,12,2024-12,0
800,2024-12-31,2024,12,2024-12,313
801,2024-12-31,2024,12,2024-12,280
802,2024-12-31,2024,12,2024-12,739
803,2024-12-31,2024,12,2024-12,487
804,2024-12-31,2024,12,2024-12,232
805,2024-12-31,2024,12,2024-12,145
806,2024-12-31,2024,12,2024-12,0
807,2024-12-31,2024,12,2024-12,301
808,2024-12-31,2024,12,2024-12,0
809,2024-12-31,2024,12,2024-12,0
810,2024-12-31,2024,12,2024-12,0
811,2024-12-31,2024,12,2024-12,1368
812,2024-12-31,2024,12,2024-12,765
813,2024-12-31,2024,12,2024-12,157
814,2024-12-31,2024,12,2024-12,532
815,2024-12-31,2024,12,2024-12,0
816,2024-12-31,2024,12,2024-12,134
817,2024-12-31,2024,12,2024-12,417
818,2024-12-31,2024,12,2024-12,90
819,2024-11-30,2024,11,2024-11,1243
820,2024-11-30,2024,11,2024-11,0
821,2024-11-30,2024,11,2024-11,790
822,2024-11-30,2024,11,2024-11,1278
823,2024-11-30,2024,11,2024-11,2133
824,2024-11-30,2024,11,2024-11,1099
825,2024-11-30,2024,11,2024-11,1828
826,2024-11-30,2024,11,2024-11,569
827,2024-11-30,2024,11,2024-11,421
828,2024-11-30,2024,11,2024-11,1528
829,2024-11-30,2024,11,2024-11,557
830,2024-11-30,2024,11,2024-11,0
831,2024-11-30,2024,11,2024-11,802
832,2024-11-30,2024,11,2024-11,0
833,2024-11-30,2024,11,2024-11,74
834,2024-11-30,2024,11,2024-11,433
835,2024-11-30,2024,11,2024-11,848
836,2024-11-30,2024,11,2024-11,494
837,2024-11-30,2024,11,2024-11,517
838,2024-11-30,2024,11,2024-11,378
839,2024-11-30,2024,11,2024-11,355
840,2024-11-30,2024,11,2024-11,326
841,2024-11-30,2024,11,2024-11,0
842,2024-11-30,2024,11,2024-11,0
843,2024-11-30,2024,11,2024-11,138
844,2024-11-30,2024,11,2024-11,411
845,2024-11-30,2024,11,2024-11,88
846,2024-11-30,2024,11,2024-11,187
847,2024-11-30,2024,11,2024-11,2402
848,2024-11-30,2024,11,2024-11,1616
849,2024-11-30,2024,11,2024-11,857
850,2024-11-30,2024,11,2024-11,0
851,2024-11-30,2024,11,2024-11,0
852,2024-11-30,2024,11,2024-11,107
853,2024-11-30,2024,11,2024-11,382
854,2024-11-30,2024,11,2024-11,982
855,2024-11-30,2024,11,2024-11,487
856,2024-11-30,2024,11,2024-11,344
857,2024-11-30,2024,11,2024-11,0
858,2024-11-30,2024,11,2024-11,684
859,2024-11-30,2024,11,2024-11,618
860,2024-11-30,2024,11,2024-11,537
861,2024-11-30,2024,11,2024-11,0
862,2024-11-30,2024,11,2024-11,320
863,2024-11-30,2024,11,2024-11,278
864,2024-11-30,2024,11,2024-11,749
865,2024-11-30,2024,11,2024-11,508
866,2024-11-30,2024,11,2024-11,224
867,2024-11-30,2024,11,2024-11,86
868,2024-11-30,2024,11,2024-11,0
869,2024-11-30,2024,11,2024-11,297
870,2024-11-30,2024,11,2024-11,0
871,2024-11-30,2024,11,2024-11,0
872,2024-11-30,2024,11,2024-11,0
873,2024-11-30,2024,11,2024-11,1396
874,2024-11-30,2024,11,2024-11,802
875,2024-11-30,2024,11,2024-11,165
876,2024-11-30,2024,11,2024-11,552
877,2024-11-30,2024,11,2024-11,0
878,2024-11-30,2024,11,2024-11,0
879,2024-10-31,2024,10,2024-10,0
880,2024-10-31,2024,10,2024-10,552
881,2024-10-31,2024,10,2024-10,0
882,2024-10-31,2024,10,2024-10,0
883,2024-10-31,2024,10,2024-10,0
884,2024-10-31,2024,10,2024-10,1241
885,2024-10-31,2024,10,2024-10,1377
886,2024-10-31,2024,10,2024-10,854
887,2024-10-31,2024,10,2024-10,149
888,2024-10-31,2024,10,2024-10,780
889,2024-10-31,2024,10,2024-10,1285
890,2024-10-31,2024,10,2024-10,2222
891,2024-10-31,2024,10,2024-10,1398
892,2024-10-31,2024,10,2024-10,2015
893,2024-10-31,2024,10,2024-10,433
894,2024-10-31,2024,10,2024-10,394
895,2024-10-31,2024,10,2024-10,1535
896,2024-10-31,2024,10,2024-10,566
897,2024-10-31,2024,10,2024-10,0
898,2024-10-31,2024,10,2024-10,805
899,2024-10-31,2024,10,2024-10,0
900,2024-10-31,2024,10,2024-10,75
901,2024-10-31,2024,10,2024-10,429
902,2024-10-31,2024,10,2024-10,831
903,2024-10-31,2024,10,2024-10,513
904,2024-10-31,2024,10,2024-10,559
905,2024-10-31,2024,10,2024-10,387
906,2024-10-31,2024,10,2024-10,374
907,2024-10-31,2024,10,2024-10,330
908,2024-10-31,2024,10,2024-10,0
909,2024-10-31,2024,10,2024-10,0
910,2024-10-31,2024,10,2024-10,142
911,2024-10-31,2024,10,2024-10,424
912,2024-10-31,2024,10,2024-10,90
913,2024-10-31,2024,10,2024-10,194
914,2024-10-31,2024,10,2024-10,2397
915,2024-10-31,2024,10,2024-10,1640
916,2024-10-31,2024,10,2024-10,801
917,2024-10-31,2024,10,2024-10,0
918,2024-10-31,2024,10,2024-10,0
919,2024-10-31,2024,10,2024-10,99
920,2024-10-31,2024,10,2024-10,384
921,2024-10-31,2024,10,2024-10,977
922,2024-10-31,2024,10,2024-10,512
923,2024-10-31,2024,10,2024-10,356
924,2024-10-31,2024,10,2024-10,0
925,2024-10-31,2024,10,2024-10,692
926,2024-10-31,2024,10,2024-10,581
927,2024-10-31,2024,10,2024-10,529
928,2024-10-31,2024,10,2024-10,0
929,2024-10-31,2024,10,2024-10,319
930,2024-10-31,2024,10,2024-10,281
931,2024-10-31,2024,10,2024-10,763
932,2024-10-31,2024,10,2024-10,524
933,2024-10-31,2024,10,2024-10,246
934,2024-10-31,2024,10,2024-10,0
935,2024-10-31,2024,10,2024-10,0
936,2024-10-31,2024,10,2024-10,282
937,2024-10-31,2024,10,2024-10,0
938,2024-10-31,2024,10,2024-10,0
939,2024-09-30,2024,9,2024-09,167
940,2024-09-30,2024,9,2024-09,691
941,2024-09-30,2024,9,2024-09,348
942,2024-09-30,2024,9,2024-09,563
943,2024-09-30,2024,9,2024-09,1003
944,2024-09-30,2024,9,2024-09,387
945,2024-09-30,2024,9,2024-09,107
946,2024-09-30,2024,9,2024-09,0
947,2024-09-30,2024,9,2024-09,0
948,2024-09-30,2024,9,2024-09,828
949,2024-09-30,2024,9,2024-09,1590
950,2024-09-30,2024,9,2024-09,2420
951,2024-09-30,2024,9,2024-09,196
952,2024-09-30,2024,9,2024-09,88
953,2024-09-30,2024,9,2024-09,407
954,2024-09-30,2024,9,2024-09,135
955,2024-09-30,2024,9,2024-09,0
956,2024-09-30,2024,9,2024-09,0
957,2024-09-30,2024,9,2024-09,346
958,2024-09-30,2024,9,2024-09,388
959,2024-09-30,2024,9,2024-09,349
960,2024-09-30,2024,9,2024-09,578
961,2024-09-30,2024,9,2024-09,504
962,2024-09-30,2024,9,2024-09,777
963,2024-09-30,2024,9,2024-09,439
964,2024-09-30,2024,9,2024-09,74
965,2024-09-30,2024,9,2024-09,0
966,2024-09-30,2024,9,2024-09,810
967,2024-09-30,2024,9,2024-09,0
968,2024-09-30,2024,9,2024-09,566
